code,year,age,asfr
ALB,1955,14,5.7e-4
ALB,1955,15,0.00458
ALB,1955,16,0.01707
ALB,1955,17,0.04361
ALB,1955,18,0.0838
ALB,1955,19,0.13168
ALB,1955,20,0.17944
ALB,1955,21,0.22101
ALB,1955,22,0.25343
ALB,1955,23,0.27641
ALB,1955,24,0.29129
ALB,1955,25,0.30002
ALB,1955,26,0.30452
ALB,1955,27,0.3064
ALB,1955,28,0.3068
ALB,1955,29,0.30642
ALB,1955,30,0.30552
ALB,1955,31,0.30405
ALB,1955,32,0.30166
ALB,1955,33,0.29785
ALB,1955,34,0.29204
ALB,1955,35,0.28364
ALB,1955,36,0.27217
ALB,1955,37,0.25736
ALB,1955,38,0.23923
ALB,1955,39,0.21809
ALB,1955,40,0.19458
ALB,1955,41,0.16956
ALB,1955,42,0.14407
ALB,1955,43,0.11918
ALB,1955,44,0.09586
ALB,1955,45,0.07487
ALB,1955,46,0.056710000000000003
ALB,1955,47,0.04163
ALB,1955,48,0.02957
ALB,1955,49,0.03114
ALB,1955,50,0.02351
ALB,1956,14,2.2e-4
ALB,1956,15,0.00208
ALB,1956,16,0.01149
ALB,1956,17,0.03608
ALB,1956,18,0.07798
ALB,1956,19,0.13042
ALB,1956,20,0.1828
ALB,1956,21,0.22683
ALB,1956,22,0.25885
ALB,1956,23,0.27907
ALB,1956,24,0.28975
ALB,1956,25,0.29377
ALB,1956,26,0.29374
ALB,1956,27,0.2917
ALB,1956,28,0.28898
ALB,1956,29,0.28633
ALB,1956,30,0.28396
ALB,1956,31,0.2817
ALB,1956,32,0.27906
ALB,1956,33,0.27536
ALB,1956,34,0.26983
ALB,1956,35,0.26172
ALB,1956,36,0.25042
ALB,1956,37,0.2356
ALB,1956,38,0.21727
ALB,1956,39,0.19584
ALB,1956,40,0.17209
ALB,1956,41,0.14709
ALB,1956,42,0.12203
ALB,1956,43,0.09809
ALB,1956,44,0.07628
ALB,1956,45,0.0573
ALB,1956,46,0.04152
ALB,1956,47,0.02899
ALB,1956,48,0.01947
ALB,1956,49,0.01796
ALB,1956,50,0.01243
ALB,1957,14,4.4e-4
ALB,1957,15,0.00382
ALB,1957,16,0.01616
ALB,1957,17,0.04322
ALB,1957,18,0.08402
ALB,1957,19,0.13109
ALB,1957,20,0.17573
ALB,1957,21,0.21213
ALB,1957,22,0.2383
ALB,1957,23,0.25504
ALB,1957,24,0.26446
ALB,1957,25,0.26893
ALB,1957,26,0.2705
ALB,1957,27,0.27067
ALB,1957,28,0.27038
ALB,1957,29,0.27006
ALB,1957,30,0.26967
ALB,1957,31,0.26888
ALB,1957,32,0.26706
ALB,1957,33,0.26349
ALB,1957,34,0.25739
ALB,1957,35,0.2481
ALB,1957,36,0.23519
ALB,1957,37,0.21856
ALB,1957,38,0.19851
ALB,1957,39,0.17576
ALB,1957,40,0.15133
ALB,1957,41,0.12644
ALB,1957,42,0.10233
ALB,1957,43,0.08009
ALB,1957,44,0.06053
ALB,1957,45,0.04411
ALB,1957,46,0.03096
ALB,1957,47,0.0209
ALB,1957,48,0.01355
ALB,1957,49,0.01166
ALB,1957,50,0.00774
ALB,1958,14,4e-4
ALB,1958,15,0.00347
ALB,1958,16,0.01508
ALB,1958,17,0.04158
ALB,1958,18,0.08327
ALB,1958,19,0.1335
ALB,1958,20,0.18322
ALB,1958,21,0.22554
ALB,1958,22,0.25737
ALB,1958,23,0.27874
ALB,1958,24,0.29139
ALB,1958,25,0.29765
ALB,1958,26,0.29968
ALB,1958,27,0.29919
ALB,1958,28,0.29734
ALB,1958,29,0.29475
ALB,1958,30,0.29161
ALB,1958,31,0.28777
ALB,1958,32,0.28284
ALB,1958,33,0.27627
ALB,1958,34,0.2675
ALB,1958,35,0.25605
ALB,1958,36,0.2416
ALB,1958,37,0.2241
ALB,1958,38,0.20381
ALB,1958,39,0.1813
ALB,1958,40,0.1574
ALB,1958,41,0.1331
ALB,1958,42,0.10944
ALB,1958,43,0.08736
ALB,1958,44,0.06761
ALB,1958,45,0.05065
ALB,1958,46,0.0367
ALB,1958,47,0.02567
ALB,1958,48,0.01733
ALB,1958,49,0.01624
ALB,1958,50,0.01145
ALB,1959,14,5.1e-4
ALB,1959,15,0.0043
ALB,1959,16,0.01739
ALB,1959,17,0.04607
ALB,1959,18,0.08995
ALB,1959,19,0.14186000000000001
ALB,1959,20,0.19258
ALB,1959,21,0.23531
ALB,1959,22,0.26708
ALB,1959,23,0.288
ALB,1959,24,0.29988
ALB,1959,25,0.30508
ALB,1959,26,0.30579
ALB,1959,27,0.30375
ALB,1959,28,0.30014
ALB,1959,29,0.29563
ALB,1959,30,0.29046
ALB,1959,31,0.28458
ALB,1959,32,0.27766
ALB,1959,33,0.26931
ALB,1959,34,0.25905
ALB,1959,35,0.24652
ALB,1959,36,0.23149
ALB,1959,37,0.21395
ALB,1959,38,0.19415
ALB,1959,39,0.17259
ALB,1959,40,0.14998
ALB,1959,41,0.12717
ALB,1959,42,0.10503
ALB,1959,43,0.08436
ALB,1959,44,0.06581
ALB,1959,45,0.0498
ALB,1959,46,0.0365
ALB,1959,47,0.02589
ALB,1959,48,0.01774
ALB,1959,49,0.01723
ALB,1959,50,0.01249
ALB,1960,14,5.8e-4
ALB,1960,15,0.00477
ALB,1960,16,0.01859
ALB,1960,17,0.04849
ALB,1960,18,0.09399
ALB,1960,19,0.14771
ALB,1960,20,0.20007
ALB,1960,21,0.24382
ALB,1960,22,0.27566
ALB,1960,23,0.29559
ALB,1960,24,0.3055
ALB,1960,25,0.30794
ALB,1960,26,0.30538
ALB,1960,27,0.29986
ALB,1960,28,0.29285
ALB,1960,29,0.28533
ALB,1960,30,0.27784
ALB,1960,31,0.27059
ALB,1960,32,0.26352
ALB,1960,33,0.25639
ALB,1960,34,0.24885
ALB,1960,35,0.2405
ALB,1960,36,0.23095
ALB,1960,37,0.21988
ALB,1960,38,0.20707
ALB,1960,39,0.19246
ALB,1960,40,0.17617
ALB,1960,41,0.15851
ALB,1960,42,0.13991
ALB,1960,43,0.12095
ALB,1960,44,0.10226
ALB,1960,45,0.08442
ALB,1960,46,0.06797
ALB,1960,47,0.05331
ALB,1960,48,0.04069
ALB,1960,49,0.05105
ALB,1960,50,0.04334
ALB,1961,14,2.8e-4
ALB,1961,15,0.00265
ALB,1961,16,0.0141
ALB,1961,17,0.04278
ALB,1961,18,0.08974
ALB,1961,19,0.14641
ALB,1961,20,0.20104
ALB,1961,21,0.24514
ALB,1961,22,0.27538
ALB,1961,23,0.2924
ALB,1961,24,0.29883
ALB,1961,25,0.2978
ALB,1961,26,0.29215
ALB,1961,27,0.28406
ALB,1961,28,0.27508
ALB,1961,29,0.26622
ALB,1961,30,0.25799
ALB,1961,31,0.25058
ALB,1961,32,0.24393
ALB,1961,33,0.23778
ALB,1961,34,0.23172
ALB,1961,35,0.22527
ALB,1961,36,0.2179
ALB,1961,37,0.2091
ALB,1961,38,0.19845
ALB,1961,39,0.18566
ALB,1961,40,0.17066
ALB,1961,41,0.15361
ALB,1961,42,0.13495
ALB,1961,43,0.11532
ALB,1961,44,0.09555
ALB,1961,45,0.0765
ALB,1961,46,0.059
ALB,1961,47,0.04368
ALB,1961,48,0.03094
ALB,1961,49,0.0303
ALB,1961,50,0.02137
ALB,1962,14,0
ALB,1962,15,2e-5
ALB,1962,16,0.00166
ALB,1962,17,0.01804
ALB,1962,18,0.0683
ALB,1962,19,0.14212
ALB,1962,20,0.21027
ALB,1962,21,0.25613
ALB,1962,22,0.27948
ALB,1962,23,0.28708
ALB,1962,24,0.28585
ALB,1962,25,0.28063
ALB,1962,26,0.27414
ALB,1962,27,0.2676
ALB,1962,28,0.26133
ALB,1962,29,0.25525
ALB,1962,30,0.24907
ALB,1962,31,0.24254
ALB,1962,32,0.23551
ALB,1962,33,0.22791
ALB,1962,34,0.21979
ALB,1962,35,0.21123
ALB,1962,36,0.20229
ALB,1962,37,0.19298
ALB,1962,38,0.1832
ALB,1962,39,0.17274
ALB,1962,40,0.16127
ALB,1962,41,0.14839
ALB,1962,42,0.1338
ALB,1962,43,0.11736
ALB,1962,44,0.09927
ALB,1962,45,0.08019
ALB,1962,46,0.0612
ALB,1962,47,0.04361
ALB,1962,48,0.02863
ALB,1962,49,0.0212
ALB,1962,50,0.01185
ALB,1963,14,0
ALB,1963,15,0
ALB,1963,16,9e-5
ALB,1963,17,0.00602
ALB,1963,18,0.04941
ALB,1963,19,0.13981
ALB,1963,20,0.2275
ALB,1963,21,0.27871
ALB,1963,22,0.29651
ALB,1963,23,0.29585
ALB,1963,24,0.28862
ALB,1963,25,0.28107
ALB,1963,26,0.27537
ALB,1963,27,0.27142
ALB,1963,28,0.26813
ALB,1963,29,0.2642
ALB,1963,30,0.25858
ALB,1963,31,0.25071
ALB,1963,32,0.24054
ALB,1963,33,0.22849
ALB,1963,34,0.21527
ALB,1963,35,0.20172
ALB,1963,36,0.18862
ALB,1963,37,0.17658
ALB,1963,38,0.16588
ALB,1963,39,0.15643
ALB,1963,40,0.14773
ALB,1963,41,0.13884
ALB,1963,42,0.12858
ALB,1963,43,0.11576
ALB,1963,44,0.09969
ALB,1963,45,0.08058
ALB,1963,46,0.05989
ALB,1963,47,0.04004
ALB,1963,48,0.02352
ALB,1963,49,0.01313
ALB,1963,50,0.00585
ALB,1964,14,0
ALB,1964,15,0
ALB,1964,16,9e-5
ALB,1964,17,0.0062
ALB,1964,18,0.05031
ALB,1964,19,0.14011
ALB,1964,20,0.22495
ALB,1964,21,0.27302
ALB,1964,22,0.28894
ALB,1964,23,0.28788
ALB,1964,24,0.2813
ALB,1964,25,0.27494
ALB,1964,26,0.27055
ALB,1964,27,0.26772
ALB,1964,28,0.26517
ALB,1964,29,0.2615
ALB,1964,30,0.25565
ALB,1964,31,0.24709
ALB,1964,32,0.23589
ALB,1964,33,0.2226
ALB,1964,34,0.20804
ALB,1964,35,0.19317
ALB,1964,36,0.17884
ALB,1964,37,0.1657
ALB,1964,38,0.15405
ALB,1964,39,0.14385
ALB,1964,40,0.13462
ALB,1964,41,0.12552
ALB,1964,42,0.11544
ALB,1964,43,0.1033
ALB,1964,44,0.08843
ALB,1964,45,0.07102
ALB,1964,46,0.05239
ALB,1964,47,0.03469
ALB,1964,48,0.02011
ALB,1964,49,0.01094
ALB,1964,50,0.00481
ALB,1965,14,0
ALB,1965,15,3e-5
ALB,1965,16,0.00177
ALB,1965,17,0.01779
ALB,1965,18,0.06479
ALB,1965,19,0.13251
ALB,1965,20,0.19516
ALB,1965,21,0.23837
ALB,1965,22,0.26196
ALB,1965,23,0.2716
ALB,1965,24,0.27305
ALB,1965,25,0.27027
ALB,1965,26,0.26544
ALB,1965,27,0.25945
ALB,1965,28,0.25249
ALB,1965,29,0.24446
ALB,1965,30,0.23519
ALB,1965,31,0.22464
ALB,1965,32,0.21291
ALB,1965,33,0.20025
ALB,1965,34,0.18701
ALB,1965,35,0.17358
ALB,1965,36,0.16036
ALB,1965,37,0.14764
ALB,1965,38,0.13563
ALB,1965,39,0.12443
ALB,1965,40,0.11398
ALB,1965,41,0.10412
ALB,1965,42,0.09459
ALB,1965,43,0.08509
ALB,1965,44,0.07533
ALB,1965,45,0.06511
ALB,1965,46,0.05444
ALB,1965,47,0.04357
ALB,1965,48,0.03298
ALB,1965,49,0.03262
ALB,1965,50,0.02288
ALB,1966,14,4.3e-4
ALB,1966,15,0.00321
ALB,1966,16,0.01092
ALB,1966,17,0.02979
ALB,1966,18,0.06331
ALB,1966,19,0.10972
ALB,1966,20,0.16169
ALB,1966,21,0.20998
ALB,1966,22,0.24758
ALB,1966,23,0.2715
ALB,1966,24,0.28233
ALB,1966,25,0.2827
ALB,1966,26,0.27587
ALB,1966,27,0.26484
ALB,1966,28,0.25192
ALB,1966,29,0.23864
ALB,1966,30,0.22587
ALB,1966,31,0.21397
ALB,1966,32,0.20289
ALB,1966,33,0.19236
ALB,1966,34,0.18199
ALB,1966,35,0.17135
ALB,1966,36,0.1601
ALB,1966,37,0.14801
ALB,1966,38,0.13504
ALB,1966,39,0.12131
ALB,1966,40,0.10711
ALB,1966,41,0.09285
ALB,1966,42,0.07896
ALB,1966,43,0.06588
ALB,1966,44,0.05394
