country,birth_year,age
Norway,1972.26,42.8
Norway,1973.16,42.84
Norway,1973.8,42.87
Norway,1974.62,42.9
Norway,1975.45,42.93
Norway,1976.1,42.95
Norway,1976.96,43.0
Norway,1977.78,43.01
Norway,1978.47,43.05
Norway,1979.32,43.11
Norway,1980.07,43.21
Norway,1980.72,43.37
Norway,1981.57,43.8
Norway,1982.42,45.22
Norway,1982.83,48.32
United States,1977.69,37.14
United States,1978.57,37.1
United States,1979.21,37.06
United States,1980.02,37.02
United States,1980.86,36.99
United States,1981.49,36.99
United States,1982.37,37.03
United States,1983.19,37.06
United States,1983.82,37.1
United States,1984.74,37.2
United States,1985.46,37.26
United States,1986.14,37.33
United States,1987.0,37.41
United States,1987.67,37.47
United States,1988.5,37.53
United States,1989.33,37.56
United States,1990.02,37.59
United States,1990.8,37.6
United States,1991.59,37.56
United States,1992.3,37.54
United States,1993.14,37.5
United States,1993.93,37.45
United States,1994.64,37.42
United States,1995.51,37.36
United States,1996.19,37.33
United States,1996.9,37.31
United States,1997.78,37.32
United States,1998.42,37.36
United States,1999.23,37.43
United States,2000.12,37.55
United States,2000.78,37.67
United States,2001.55,37.84
United States,2002.23,38.0
