code,country,year,peak_age,peak_asfr,wall_200,wall_1000,gap_200
ALB,Albania,1955,28,0.3068,50,50,22
ALB,Albania,1956,25,0.29377,50,50,25
ALB,Albania,1957,27,0.27067,50,50,23
ALB,Albania,1958,26,0.29968,50,50,24
ALB,Albania,1959,26,0.30579,50,50,24
ALB,Albania,1960,25,0.30794,50,50,25
ALB,Albania,1961,24,0.29883,50,50,26
ALB,Albania,1962,23,0.28708,50,50,27
ALB,Albania,1963,22,0.29651,50,50,28
ALB,Albania,1964,22,0.28894,49,50,27
ALB,Albania,1965,24,0.27305,50,50,26
ALB,Albania,1966,25,0.2827,50,50,25
ALB,Albania,1967,25,0.29756,50,50,25
ALB,Albania,1968,23,0.30942,50,50,27
ALB,Albania,1969,24,0.34394,50,50,26
ALB,Albania,1970,24,0.30399,50,50,26
ALB,Albania,1971,24,0.31356,49,50,25
ALB,Albania,1972,24,0.30711,49,50,25
ALB,Albania,1973,24,0.28166,49,50,25
ALB,Albania,1974,24,0.28321,49,50,25
ALB,Albania,1975,24,0.27204,48,50,24
ALB,Albania,1976,24,0.26516,47,50,23
ALB,Albania,1977,24,0.27014,47,50,23
ALB,Albania,1978,24,0.25378,46,50,22
ALB,Albania,1979,24,0.25381,46,50,22
ALB,Albania,1980,25,0.24267,46,49,21
ALB,Albania,1981,25,0.23422,46,48,21
ALB,Albania,1982,25,0.24493,46,48,21
ALB,Albania,1983,24,0.2183,45,47,21
ALB,Albania,1984,25,0.23979,45,47,20
ALB,Albania,1985,25,0.23146,45,47,20
ALB,Albania,1986,25,0.23043,45,48,20
ALB,Albania,1987,25,0.23758,45,49,20
ALB,Albania,1988,25,0.22783,45,47,20
ALB,Albania,1989,26,0.21862,45,47,19
ALB,Albania,1990,25,0.22706,45,48,20
ALB,Albania,1991,26,0.19663,44,47,18
ALB,Albania,1992,25,0.21225,44,47,19
ALB,Albania,1993,25,0.19787,43,47,18
ALB,Albania,1994,25,0.20875,43,47,18
ALB,Albania,1995,25,0.2235,43,46,18
ALB,Albania,1996,24,0.22999,42,45,18
ALB,Albania,1997,25,0.19316,42,46,17
ALB,Albania,1998,25,0.18786,42,45,17
ALB,Albania,1999,25,0.15964,42,45,17
ALB,Albania,2000,26,0.14754,42,45,16
ALB,Albania,2001,26,0.18401,44,48,18
ALB,Albania,2002,26,0.14617,42,46,16
ALB,Albania,2003,25,0.15166,42,46,17
ALB,Albania,2004,25,0.13544,42,46,17
ALB,Albania,2005,25,0.12004,41,45,16
ALB,Albania,2006,25,0.10344,41,45,16
ALB,Albania,2007,25,0.09676,41,50,16
ALB,Albania,2008,27,0.09455,50,50,23
AUS,Australia,1921,25,0.17187,46,48,21
AUS,Australia,1922,25,0.17405,46,48,21
AUS,Australia,1923,25,0.17065,46,48,21
AUS,Australia,1924,25,0.16794,46,48,21
AUS,Australia,1925,25,0.16703,46,48,21
AUS,Australia,1926,25,0.1634,46,48,21
AUS,Australia,1927,25,0.16032,46,48,21
AUS,Australia,1928,25,0.15953,46,48,21
AUS,Australia,1929,25,0.15352,46,48,21
AUS,Australia,1930,25,0.14986,46,48,21
AUS,Australia,1931,25,0.13482,46,48,21
AUS,Australia,1932,25,0.12547,46,47,21
AUS,Australia,1933,25,0.12618,45,47,20
AUS,Australia,1934,25,0.12359,45,47,20
AUS,Australia,1935,25,0.12612,45,47,20
AUS,Australia,1936,25,0.13128,45,47,20
AUS,Australia,1937,25,0.13473,45,47,20
AUS,Australia,1938,25,0.13494,45,47,20
AUS,Australia,1939,25,0.13874,45,47,20
AUS,Australia,1940,25,0.14167,45,47,20
AUS,Australia,1941,25,0.1498,45,47,20
AUS,Australia,1942,25,0.15058,45,47,20
AUS,Australia,1943,25,0.16258,45,47,20
AUS,Australia,1944,25,0.1603,45,47,20
AUS,Australia,1945,25,0.16846,45,47,20
AUS,Australia,1946,25,0.19166,45,47,20
AUS,Australia,1947,25,0.19993,45,47,20
AUS,Australia,1948,25,0.19335,45,47,20
AUS,Australia,1949,25,0.19648,45,47,20
AUS,Australia,1950,25,0.2027,45,47,20
AUS,Australia,1951,24,0.20361,45,47,21
AUS,Australia,1952,24,0.21584,45,47,21
AUS,Australia,1953,24,0.21993,44,47,20
AUS,Australia,1954,24,0.22292,44,47,20
