code,country,year,wall_200,wall_1000
ALB,Albania,1955,50,50
ALB,Albania,1956,50,50
ALB,Albania,1957,50,50
ALB,Albania,1958,50,50
ALB,Albania,1959,50,50
ALB,Albania,1960,50,50
ALB,Albania,1961,50,50
ALB,Albania,1962,50,50
ALB,Albania,1963,50,50
ALB,Albania,1964,49,50
ALB,Albania,1965,50,50
ALB,Albania,1966,50,50
ALB,Albania,1967,50,50
ALB,Albania,1968,50,50
ALB,Albania,1969,50,50
ALB,Albania,1970,50,50
ALB,Albania,1971,49,50
ALB,Albania,1972,49,50
ALB,Albania,1973,49,50
ALB,Albania,1974,49,50
ALB,Albania,1975,48,50
ALB,Albania,1976,47,50
ALB,Albania,1977,47,50
ALB,Albania,1978,46,50
ALB,Albania,1979,46,50
ALB,Albania,1980,46,49
ALB,Albania,1981,46,48
ALB,Albania,1982,46,48
ALB,Albania,1983,45,47
ALB,Albania,1984,45,47
ALB,Albania,1985,45,47
ALB,Albania,1986,45,48
ALB,Albania,1987,45,49
ALB,Albania,1988,45,47
ALB,Albania,1989,45,47
ALB,Albania,1990,45,48
ALB,Albania,1991,44,47
ALB,Albania,1992,44,47
ALB,Albania,1993,43,47
ALB,Albania,1994,43,47
ALB,Albania,1995,43,46
ALB,Albania,1996,42,45
ALB,Albania,1997,42,46
ALB,Albania,1998,42,45
ALB,Albania,1999,42,45
ALB,Albania,2000,42,45
ALB,Albania,2001,44,48
ALB,Albania,2002,42,46
ALB,Albania,2003,42,46
ALB,Albania,2004,42,46
ALB,Albania,2005,41,45
ALB,Albania,2006,41,45
ALB,Albania,2007,41,50
ALB,Albania,2008,50,50
AUS,Australia,1921,46,48
AUS,Australia,1922,46,48
AUS,Australia,1923,46,48
AUS,Australia,1924,46,48
AUS,Australia,1925,46,48
AUS,Australia,1926,46,48
AUS,Australia,1927,46,48
AUS,Australia,1928,46,48
AUS,Australia,1929,46,48
AUS,Australia,1930,46,48
AUS,Australia,1931,46,48
AUS,Australia,1932,46,47
AUS,Australia,1933,45,47
AUS,Australia,1934,45,47
AUS,Australia,1935,45,47
AUS,Australia,1936,45,47
AUS,Australia,1937,45,47
AUS,Australia,1938,45,47
AUS,Australia,1939,45,47
AUS,Australia,1940,45,47
AUS,Australia,1941,45,47
AUS,Australia,1942,45,47
AUS,Australia,1943,45,47
AUS,Australia,1944,45,47
AUS,Australia,1945,45,47
AUS,Australia,1946,45,47
AUS,Australia,1947,45,47
AUS,Australia,1948,45,47
AUS,Australia,1949,45,47
AUS,Australia,1950,45,47
AUS,Australia,1951,45,47
AUS,Australia,1952,45,47
AUS,Australia,1953,44,47
AUS,Australia,1954,44,47
AUS,Australia,1955,44,47
AUS,Australia,1956,44,47
AUS,Australia,1957,44,47
AUS,Australia,1958,44,47
AUS,Australia,1959,44,47
AUS,Australia,1960,44,46
AUS,Australia,1961,44,47
AUS,Australia,1962,44,47
AUS,Australia,1963,44,47
AUS,Australia,1964,44,47
AUS,Australia,1965,44,47
AUS,Australia,1966,44,46
AUS,Australia,1967,44,46
AUS,Australia,1968,44,46
AUS,Australia,1969,43,46
AUS,Australia,1970,43,46
AUS,Australia,1971,43,46
AUS,Australia,1972,43,46
AUS,Australia,1973,43,45
AUS,Australia,1974,42,45
AUS,Australia,1975,42,44
AUS,Australia,1976,42,45
AUS,Australia,1977,42,44
AUS,Australia,1978,41,44
AUS,Australia,1979,41,44
AUS,Australia,1980,41,44
AUS,Australia,1981,41,44
AUS,Australia,1982,41,44
AUS,Australia,1983,41,44
AUS,Australia,1984,41,44
AUS,Australia,1985,41,44
AUS,Australia,1986,41,44
AUS,Australia,1987,41,44
AUS,Australia,1988,41,43
AUS,Australia,1989,41,44
AUS,Australia,1990,41,44
AUS,Australia,1991,41,44
AUS,Australia,1992,41,44
AUS,Australia,1993,42,44
AUS,Australia,1994,42,44
AUS,Australia,1995,42,44
AUS,Australia,1996,42,44
AUS,Australia,1997,42,44
AUS,Australia,1998,42,44
AUS,Australia,1999,42,44
AUS,Australia,2000,42,45
AUS,Australia,2001,42,45
AUS,Australia,2002,42,45
AUS,Australia,2003,42,45
AUS,Australia,2004,43,45
AUS,Australia,2005,43,45
AUS,Australia,2006,43,45
AUS,Australia,2007,43,45
AUS,Australia,2008,43,45
AUS,Australia,2009,43,45
AUS,Australia,2010,43,45
AUS,Australia,2011,43,46
AUS,Australia,2012,43,46
AUS,Australia,2013,43,46
AUS,Australia,2014,43,46
AUS,Australia,2015,43,46
AUS,Australia,2016,43,46
AUS,Australia,2017,43,46
AUS,Australia,2018,43,46
AUS,Australia,2019,43,46
AUS,Australia,2020,43,46
AUS,Australia,2021,43,46
AUS,Australia,2022,43,46
AUS,Australia,2023,43,47
AUS,Australia,2024,43,47
AUT,Austria,1937,44,44
AUT,Austria,1951,44,46
AUT,Austria,1952,44,46
AUT,Austria,1953,44,46
AUT,Austria,1954,44,46
AUT,Austria,1955,44,46
AUT,Austria,1956,44,46
AUT,Austria,1957,44,46
AUT,Austria,1958,44,46
AUT,Austria,1959,44,46
AUT,Austria,1960,44,46
AUT,Austria,1961,44,46
AUT,Austria,1962,44,46
AUT,Austria,1963,44,46
AUT,Austria,1964,44,46
AUT,Austria,1965,44,46
AUT,Austria,1966,44,46
AUT,Austria,1967,44,46
AUT,Austria,1968,44,46
AUT,Austria,1969,43,46
AUT,Austria,1970,43,46
AUT,Austria,1971,43,46
AUT,Austria,1972,43,46
AUT,Austria,1973,43,45
AUT,Austria,1974,43,45
AUT,Austria,1975,42,45
AUT,Austria,1976,42,45
AUT,Austria,1977,42,45
AUT,Austria,1978,42,45
AUT,Austria,1979,41,44
AUT,Austria,1980,41,44
AUT,Austria,1981,41,45
AUT,Austria,1982,41,45
AUT,Austria,1983,41,44
AUT,Austria,1984,41,44
AUT,Austria,1985,40,43
AUT,Austria,1986,41,44
AUT,Austria,1987,41,44
AUT,Austria,1988,40,43
AUT,Austria,1989,40,43
AUT,Austria,1990,41,44
AUT,Austria,1991,41,44
AUT,Austria,1992,41,43
AUT,Austria,1993,41,43
AUT,Austria,1994,41,44
AUT,Austria,1995,40,44
AUT,Austria,1996,41,43
AUT,Austria,1997,41,44
AUT,Austria,1998,41,44
AUT,Austria,1999,41,44
AUT,Austria,2000,41,44
AUT,Austria,2001,41,44
AUT,Austria,2002,41,44
AUT,Austria,2003,41,44
AUT,Austria,2004,42,44
AUT,Austria,2005,42,44
AUT,Austria,2006,42,44
AUT,Austria,2007,42,44
AUT,Austria,2008,42,44
AUT,Austria,2009,42,44
AUT,Austria,2010,42,44
AUT,Austria,2011,42,44
AUT,Austria,2012,42,45
AUT,Austria,2013,42,45
AUT,Austria,2014,42,45
AUT,Austria,2015,42,45
AUT,Austria,2016,43,45
AUT,Austria,2017,43,45
AUT,Austria,2018,43,46
AUT,Austria,2019,43,45
AUT,Austria,2020,43,45
AUT,Austria,2021,43,45
AUT,Austria,2022,43,46
AUT,Austria,2023,43,46
AUT,Austria,2024,43,46
BEL,Belgium,1939,44,47
BEL,Belgium,1947,44,47
BEL,Belgium,1948,44,47
BEL,Belgium,1949,44,47
BEL,Belgium,1950,44,47
BEL,Belgium,1951,44,46
BEL,Belgium,1952,44,46
BEL,Belgium,1953,44,46
BEL,Belgium,1954,44,46
BEL,Belgium,1955,44,46
BEL,Belgium,1956,44,46
BEL,Belgium,1957,44,46
BEL,Belgium,1958,44,46
BEL,Belgium,1959,44,46
BEL,Belgium,1960,44,46
BEL,Belgium,1961,44,46
BEL,Belgium,1962,44,46
BEL,Belgium,1963,44,46
BEL,Belgium,1964,44,46
BEL,Belgium,1965,44,45
BEL,Belgium,1966,43,46
BEL,Belgium,1967,43,46
BEL,Belgium,1968,43,45
BEL,Belgium,1969,43,45
BEL,Belgium,1970,43,45
BEL,Belgium,1971,43,45
BEL,Belgium,1972,42,45
BEL,Belgium,1973,42,45
BEL,Belgium,1974,42,44
BEL,Belgium,1975,41,44
BEL,Belgium,1976,41,44
BEL,Belgium,1977,41,44
BEL,Belgium,1978,41,44
BEL,Belgium,1979,40,44
BEL,Belgium,1980,40,43
BEL,Belgium,1981,40,44
BEL,Belgium,1982,40,43
BEL,Belgium,1983,40,43
BEL,Belgium,1984,40,44
BEL,Belgium,1985,39,44
BEL,Belgium,1986,40,45
BEL,Belgium,1987,40,43
BEL,Belgium,1988,40,43
BEL,Belgium,1989,40,44
BEL,Belgium,1990,40,43
BEL,Belgium,1991,41,43
BEL,Belgium,1992,41,44
BEL,Belgium,1993,41,44
BEL,Belgium,1994,41,44
BEL,Belgium,1995,40,43
BEL,Belgium,1996,40,43
BEL,Belgium,1997,41,43
BEL,Belgium,1998,41,44
BEL,Belgium,1999,41,43
BEL,Belgium,2000,41,44
BEL,Belgium,2001,41,44
BEL,Belgium,2002,41,44
BEL,Belgium,2003,41,44
BEL,Belgium,2004,42,44
BEL,Belgium,2005,42,44
BEL,Belgium,2006,42,44
BEL,Belgium,2007,42,45
BEL,Belgium,2008,42,44
BEL,Belgium,2009,42,45
