code,year,last_ccfr,fert_rank
DEUTW,2007,1.6086399999999998,1
AUT,2007,1.71812,2
ITA,2007,1.7561900000000001,3
BIH,2007,1.7747100000000002,4
CHE,2007,1.7926600000000004,5
DEUTE,2007,1.8285599999999997,6
CAN,2007,1.8484599999999998,7
ESP,2007,1.8491600000000001,8
UKR,2007,1.8612800000000005,9
RUS,2007,1.8666400000000003,10
BEL,2007,1.86807,11
NLD,2007,1.87124,12
LVA,2007,1.9098000000000002,13
GBR_SCO,2007,1.9102300000000003,14
JPN,2007,1.9199700000000004,15
SVN,2007,1.91998,16
DNK,2007,1.92342,17
BLR,2007,1.9277600000000001,18
FIN,2007,1.9588499999999998,19
GRC,2007,1.9669600000000007,20
HRV,2007,1.9895099999999997,21
LTU,2007,1.99278,22
GBRTENW,2007,1.9950899999999998,23
PRT,2007,1.9968499999999998,24
BGR,2007,2.0313499999999993,25
HUN,2007,2.0481099999999994,26
USA,2007,2.0509199999999996,27
KOR,2007,2.0572699999999995,28
SWE,2007,2.0581799999999992,29
CZE,2007,2.0582000000000003,30
EST,2007,2.0927299999999995,31
NOR,2007,2.0998100000000006,32
FRA,2007,2.1382399999999997,33
SVK,2007,2.19646,34
ROU,2007,2.2082299999999995,35
POL,2007,2.2144100000000004,36
AUS,2007,2.22185,37
MDA,2007,2.2480700000000002,38
MKD,2007,2.28519,39
TWN,2007,2.3024799999999996,40
NZL,2007,2.42378,41
GBR_NIR,2007,2.4880999999999993,42
IRL,2007,2.51396,43
ISL,2007,2.5234299999999994,44
ALB,2007,3.0383599999999995,45
